线路轨迹（城市）
嘉兴市-贵阳市-黔东南苗族侗族自治州
深圳市-天津市
南京市-昆明市-玉溪市
嘉兴市-成都市-遂宁市
深圳市-东莞市-上海市
宁波市-潍坊市
嘉兴市-成都市-遂宁市
扬州市-东莞市-中山市
黄冈市-武汉市-重庆市
嘉兴市-杭州市-东莞市-江门市
深圳市-东莞市-北京市
南京市-上海市
厦门市-郑州市
嘉兴市-杭州市
深圳市-东莞市-上海市
深圳市-东莞市-成都市
佛山市-泉州市
南京市-成都市
嘉兴市-杭州市-苏州市-南昌市-宜春市-萍乡市
嘉兴市-昆明市-红河哈尼族彝族自治州
扬州市-攀枝花市-兰州市
深圳市-东莞市-乌鲁木齐市
苏州市-长沙市
嘉兴市-攀枝花市-西安市
南京市-金华市
深圳市-东莞市-武汉市
嘉兴市-杭州市-苏州市
嘉兴市-成都市-南充市
宁波市-无锡市-泰州市
深圳市-上海市
扬州市-泉州市-福州市
深圳市-沈阳市-盘锦市-葫芦岛市
嘉兴市-沈阳市-鞍山市
南京市-长沙市-郴州市-衡阳市-邵阳市
深圳市-东莞市-包头市-鄂尔多斯市
嘉兴市-合肥市-淮南市
嘉兴市-杭州市-温州市
深圳市-合肥市-阜阳市-亳州市
苏州市-上海市
宁波市-金华市
南京市-武汉市
嘉兴市-湖州市-潍坊市
深圳市-东莞市-天津市
嘉兴市-杭州市-湖州市-济南市-泰安市
嘉兴市-贵阳市-黔东南苗族侗族自治州
深圳市-汕头市
连云港市-北京市-赤峰市
深圳市-东莞市-上海市
嘉兴市-北京市-沧州市
南京市-南昌市-上饶市
苏州市-常州市
嘉兴市-南宁市-柳州市
深圳市-福州市
成都市-重庆市
嘉兴市-杭州市-东莞市-广州市
黄冈市-北京市
深圳市-武汉市-荆州市
嘉兴市-北京市-张家口市
南京市-成都市-资阳市
泉州市-福州市
上海市-无锡市-扬州市
宁波市-郑州市-焦作市
苏州市-上海市-北京市
嘉兴市-郑州市-洛阳市
深圳市-东莞市-合肥市-芜湖市
常州市-杭州市
嘉兴市-杭州市-武汉市
深圳市-上海市
嘉兴市-北京市
济南市-郑州市-开封市
中山市-东莞市-南宁市
南京市-深圳市
深圳市-东莞市-合肥市-宣城市
深圳市-广州市
宁波市-北京市-石家庄市
深圳市-上海市
嘉兴市-杭州市-西安市-宝鸡市
临沂市-长沙市
南京市-上海市
嘉兴市-北京市
