线路轨迹（城市）
嘉兴-贵阳-黔东南苗族侗族自治州
深圳-天津
南京-昆明-玉溪
嘉兴-成都-遂宁
深圳-东莞-上海
宁波-潍坊
嘉兴-成都-遂宁
扬州-东莞-中山
黄冈-武汉-重庆
嘉兴-杭州-东莞-江门
深圳-东莞-北京
南京-上海
厦门-郑州
嘉兴-杭州
深圳-东莞-上海
深圳-东莞-成都
佛山-泉州
南京-成都
嘉兴-杭州-苏州-南昌-宜春-萍乡
嘉兴-昆明-红河哈尼族彝族自治州
扬州-攀枝花-兰州
深圳-东莞-乌鲁木齐
苏州-长沙
嘉兴-攀枝花-西安
南京-金华
深圳-东莞-武汉
嘉兴-杭州-苏州
嘉兴-成都-南充
宁波-无锡-泰州
深圳-上海
扬州-泉州-福州
深圳-沈阳-盘锦-葫芦岛
嘉兴-沈阳-鞍山
南京-长沙-郴州-衡阳-邵阳
深圳-东莞-包头-鄂尔多斯
嘉兴-合肥-淮南
嘉兴-杭州-温州
深圳-合肥-阜阳-亳州
苏州-上海
宁波-金华
南京-武汉
嘉兴-湖州-潍坊
深圳-东莞-天津
嘉兴-杭州-湖州-济南-泰安
嘉兴-贵阳-黔东南苗族侗族自治州
深圳-汕头
连云港-北京-赤峰
深圳-东莞-上海
嘉兴-北京-沧州
南京-南昌-上饶
苏州-常州
嘉兴-南宁-柳州
深圳-福州
成都-重庆
嘉兴-杭州-东莞-广州
黄冈-北京
深圳-武汉-荆州
嘉兴-北京-张家口
南京-成都-资阳
泉州-福州
上海-无锡-扬州
宁波-郑州-焦作
苏州-上海-北京
嘉兴-郑州-洛阳
深圳-东莞-合肥-芜湖
常州-杭州
嘉兴-杭州-武汉
深圳-上海
嘉兴-北京
济南-郑州-开封
中山-东莞-南宁
南京-深圳
深圳-东莞-合肥-宣城
深圳-广州
宁波-北京-石家庄
深圳-上海
嘉兴-杭州-西安-宝鸡
临沂-长沙
南京-上海
嘉兴-北京
苏州-南京
济南-潍坊-贵阳
嘉兴-武汉-荆州
嘉兴-杭州
南京-攀枝花-西安
宁波-杭州
深圳-上海
上海-无锡-杭州
深圳-东莞-北京
嘉兴-杭州-沈阳-盘锦
成都-杭州-宁波
上海-无锡-长沙
深圳-东莞-北京
宁波-无锡-淮安
深圳-南京
嘉兴-杭州-沈阳-大连
上海-无锡-沈阳
嘉兴-杭州-沈阳-延边朝鲜族自治州
深圳-沈阳-大连
南京-东莞-海口
济南-南京
嘉兴-南昌-九江
中山-东莞-衡阳-邵阳
深圳-东莞-成都-乐山
苏州-上海
上海-无锡-长沙
嘉兴-沈阳-葫芦岛
深圳-东莞-太原
黄冈-北京
成都-重庆
嘉兴-杭州-合肥-淮北
宁波-上海
南京-南昌
嘉兴-北京-保定
苏州-上海
深圳-北京
嘉兴-杭州-宁波
成都-重庆
深圳-东莞-郑州-许昌
嘉兴-沈阳-铁岭
济南-昆明-曲靖
上海-无锡-杭州
深圳-东莞-北京
南京-贵阳-黔南布依族苗族自治州
宁波-常州
嘉兴-长沙
上海-无锡-杭州
深圳-东莞-上海
上海-无锡-东莞-中山
嘉兴-沈阳-哈尔滨
深圳-东莞-北京
上海-无锡-石家庄
南京-青岛
嘉兴-上海
深圳-东莞-昆明-楚雄彝族自治州
上海-无锡-荆门-武汉-孝感
济南-深圳-佛山
上海-无锡-深圳
嘉兴-杭州-郑州-洛阳
嘉兴-天津-石家庄
宁波-西安-攀枝花-咸阳
深圳-东莞-攀枝花-西安
南京-上海
深圳-郑州-许昌
上海-无锡-武汉
廊坊-北京-太原-晋中
嘉兴-武汉
无锡-成都
中山-东莞-赣州-宜春-抚州
苏州-佛山
深圳-太原-临汾
嘉兴-杭州
南京-东莞-湛江
嘉兴-杭州-荆门-武汉-咸宁
上海-无锡-杭州
上海-无锡-东莞-海口
嘉兴-温州-汕头-揭阳
济南-菏泽
南京-淮安-哈尔滨
深圳-上海
上海-无锡-贵阳
嘉兴-杭州-长沙
嘉兴-北京-呼和浩特
深圳-南昌
宁波-郑州-南阳
上海-无锡-深圳
嘉兴-沈阳-营口
上海-无锡-北京
深圳-长沙-岳阳
南京-上海
嘉兴-杭州-成都-昆明-北京-天津
深圳-长沙-常德
上海-无锡-盐城-石家庄-衡水
嘉兴-绍兴
济南-南宁-百色
上海-无锡-郑州-邯郸
深圳-福州-南平
苏州-成都
南京-石家庄
宁波-天津-石家庄-衡水
深圳-东莞-武汉
上海-无锡-杭州
上海-无锡-合肥
深圳-重庆
嘉兴-杭州-济南-淄博
南京-泉州
深圳-东莞-成都
上海-无锡-杭州
上海-无锡-大连
广州-东莞-青岛
深圳-泉州
宁波-长沙-湘西土家族苗族自治州
济南-湖州-杭州-绍兴
嘉兴-北京
嘉兴-合肥
南京-成都
上海-无锡-沈阳
嘉兴-杭州-郑州-平顶山
深圳-成都
上海-无锡-成都-博尔塔拉蒙古自治州
深圳-东莞-石家庄
深圳-北京
嘉兴-淮安-徐州
嘉兴-沈阳-大连
宁波-杭州-合肥-芜湖
上海-无锡-南充-绵阳
济南-潍坊
上海-无锡-杭州
南京-武汉
