起点省会,终点省会,是否双向,邮件量
北京,北京,0,0.0
北京,天津,1,82.0
北京,石家庄,1,114.0
北京,太原,1,206.0
北京,呼和浩特,1,18.0
北京,沈阳,1,170.0
北京,长春,1,73.0
北京,哈尔滨,1,126.0
北京,上海,1,125.0
北京,南京,1,52.0
北京,杭州,1,191.0
北京,合肥,1,204.0
北京,福州,1,81.0
北京,南昌,1,228.0
北京,济南,1,439.0
北京,郑州,1,271.0
北京,武汉,1,237.0
北京,长沙,1,202.0
北京,广州,1,699.0
北京,南宁,1,123.0
北京,海口,0,0.0
北京,重庆,1,82.0
北京,成都,1,116.0
北京,贵阳,1,47.0
北京,昆明,1,40.0
北京,拉萨,0,1.0
北京,西安,1,118.0
北京,兰州,1,22.0
北京,西宁,0,0.0
北京,银川,1,5.0
北京,乌鲁木齐,1,7.0
天津,北京,1,58.0
天津,天津,0,0.0
天津,石家庄,1,163.0
天津,太原,1,168.0
天津,呼和浩特,1,129.0
天津,沈阳,1,129.0
天津,长春,1,115.0
天津,哈尔滨,1,209.0
天津,上海,1,78.0
天津,南京,0,5.0
天津,杭州,1,42.0
天津,合肥,1,135.0
天津,福州,1,44.0
天津,南昌,1,152.0
天津,济南,1,173.0
天津,郑州,1,186.0
天津,武汉,1,160.0
天津,长沙,1,168.0
天津,广州,1,235.0
天津,南宁,1,136.0
天津,海口,0,1.0
天津,重庆,1,51.0
天津,成都,1,60.0
天津,贵阳,0,12.0
天津,昆明,0,19.0
天津,拉萨,0,0.0
天津,西安,1,103.0
天津,兰州,0,0.0
天津,西宁,0,0.0
天津,银川,0,0.0
天津,乌鲁木齐,0,0.0
石家庄,北京,1,109.0
石家庄,天津,1,102.0
石家庄,石家庄,0,0.0
石家庄,太原,1,295.0
石家庄,呼和浩特,0,4.0
石家庄,沈阳,1,233.0
石家庄,长春,0,191.0
石家庄,哈尔滨,0,1.0
石家庄,上海,1,85.0
石家庄,南京,0,0.0
石家庄,杭州,1,90.0
石家庄,合肥,0,243.0
石家庄,福州,0,0.0
石家庄,南昌,1,232.0
石家庄,济南,1,282.0
石家庄,郑州,1,298.0
石家庄,武汉,1,223.0
石家庄,长沙,1,225.0
