起点省会,终点省会,是否直连,邮件量
北京,北京,0,0.0
北京,天津,1,1283.0
北京,石家庄,1,1121.0
北京,太原,1,668.0
北京,呼和浩特,1,522.0
北京,沈阳,1,957.0
北京,长春,1,852.0
北京,哈尔滨,1,1293.0
北京,上海,1,1018.0
北京,南京,1,370.0
北京,杭州,1,774.0
北京,合肥,1,310.0
北京,福州,1,180.0
北京,南昌,1,381.0
北京,济南,1,1069.0
北京,郑州,1,1055.0
北京,武汉,1,623.0
北京,长沙,1,559.0
北京,广州,1,859.0
北京,南宁,1,331.0
北京,海口,1,15.0
北京,重庆,1,387.0
北京,成都,1,605.0
北京,贵阳,1,294.0
北京,昆明,1,294.0
北京,拉萨,1,5.0
北京,西安,1,803.0
北京,兰州,1,252.0
北京,西宁,1,55.0
北京,银川,1,126.0
北京,乌鲁木齐,1,159.0
天津,北京,1,315.0
天津,天津,0,0.0
天津,石家庄,1,108.0
天津,太原,1,26.0
天津,呼和浩特,0,0.0
天津,沈阳,1,36.0
天津,长春,1,83.0
天津,哈尔滨,1,129.0
天津,上海,1,46.0
天津,南京,1,21.0
天津,杭州,1,95.0
天津,合肥,1,27.0
天津,福州,1,3.0
天津,南昌,1,11.0
天津,济南,1,53.0
天津,郑州,1,32.0
天津,武汉,1,25.0
天津,长沙,1,13.0
天津,广州,1,32.0
天津,南宁,1,5.0
天津,海口,0,0.0
天津,重庆,1,13.0
天津,成都,1,21.0
天津,贵阳,1,3.0
天津,昆明,1,12.0
天津,拉萨,0,0.0
天津,西安,1,35.0
天津,兰州,0,0.0
天津,西宁,0,0.0
天津,银川,0,0.0
天津,乌鲁木齐,1,1.0
石家庄,北京,1,489.0
石家庄,天津,1,199.0
石家庄,石家庄,0,0.0
石家庄,太原,1,513.0
石家庄,呼和浩特,0,0.0
石家庄,沈阳,1,130.0
石家庄,长春,1,139.0
石家庄,哈尔滨,1,171.0
石家庄,上海,1,223.0
石家庄,南京,1,106.0
石家庄,杭州,1,411.0
石家庄,合肥,1,207.0
石家庄,福州,1,52.0
石家庄,南昌,1,138.0
石家庄,济南,1,309.0
石家庄,郑州,1,250.0
石家庄,武汉,1,189.0
石家庄,长沙,1,189.0
石家庄,广州,1,535.0
石家庄,南宁,1,240.0
石家庄,海口,0,0.0
石家庄,重庆,1,114.0
石家庄,成都,1,436.0
石家庄,贵阳,1,175.0
石家庄,昆明,1,221.0
石家庄,拉萨,0,0.0
石家庄,西安,1,253.0
石家庄,兰州,1,38.0
石家庄,西宁,1,2.0
石家庄,银川,1,36.0
石家庄,乌鲁木齐,1,1.0
太原,北京,1,80.0
太原,天津,1,28.0
太原,石家庄,1,8.0
太原,太原,0,0.0
太原,呼和浩特,0,0.0
太原,沈阳,1,12.0
太原,长春,0,0.0
太原,哈尔滨,1,4.0
太原,上海,1,4.0
太原,南京,1,6.0
太原,杭州,1,34.0
太原,合肥,1,3.0
太原,福州,0,0.0
太原,南昌,1,2.0
太原,济南,1,6.0
太原,郑州,1,11.0
太原,武汉,1,4.0
太原,长沙,1,6.0
太原,广州,1,22.0
太原,南宁,1,3.0
太原,海口,0,0.0
太原,重庆,0,0.0
太原,成都,1,591.0
太原,贵阳,1,5.0
太原,昆明,1,1.0
太原,拉萨,0,0.0
太原,西安,1,134.0
太原,兰州,1,1.0
太原,西宁,0,0.0
太原,银川,0,0.0
太原,乌鲁木齐,0,0.0
呼和浩特,北京,1,717.0
呼和浩特,天津,0,0.0
呼和浩特,石家庄,0,0.0
呼和浩特,太原,1,767.0
呼和浩特,呼和浩特,0,0.0
呼和浩特,沈阳,0,0.0
呼和浩特,长春,0,0.0
呼和浩特,哈尔滨,0,0.0
呼和浩特,上海,0,0.0
呼和浩特,南京,0,0.0
呼和浩特,杭州,0,0.0
呼和浩特,合肥,0,0.0
呼和浩特,福州,0,0.0
呼和浩特,南昌,0,0.0
呼和浩特,济南,0,0.0
呼和浩特,郑州,1,167.0
呼和浩特,武汉,1,1303.0
呼和浩特,长沙,0,0.0
呼和浩特,广州,1,576.0
呼和浩特,南宁,0,0.0
呼和浩特,海口,0,0.0
呼和浩特,重庆,0,0.0
呼和浩特,成都,1,2.0
呼和浩特,贵阳,0,0.0
呼和浩特,昆明,1,1.0
呼和浩特,拉萨,0,0.0
呼和浩特,西安,0,0.0
呼和浩特,兰州,0,0.0
呼和浩特,西宁,0,0.0
呼和浩特,银川,0,0.0
呼和浩特,乌鲁木齐,0,0.0
沈阳,北京,1,497.0
沈阳,天津,1,68.0
沈阳,石家庄,1,127.0
沈阳,太原,0,0.0
沈阳,呼和浩特,0,0.0
沈阳,沈阳,0,0.0
沈阳,长春,1,505.0
沈阳,哈尔滨,1,542.0
沈阳,上海,1,65.0
沈阳,南京,1,199.0
沈阳,杭州,1,211.0
沈阳,合肥,1,1.0
沈阳,福州,1,1.0
沈阳,南昌,1,1.0
沈阳,济南,1,72.0
沈阳,郑州,1,100.0
沈阳,武汉,1,53.0
沈阳,长沙,1,52.0
沈阳,广州,1,212.0
沈阳,南宁,0,0.0
沈阳,海口,0,0.0
沈阳,重庆,0,0.0
沈阳,成都,1,160.0
沈阳,贵阳,1,2.0
沈阳,昆明,0,0.0
沈阳,拉萨,0,0.0
沈阳,西安,1,89.0
沈阳,兰州,0,0.0
沈阳,西宁,0,0.0
沈阳,银川,0,0.0
沈阳,乌鲁木齐,0,0.0
长春,北京,1,612.0
长春,天津,1,165.0
长春,石家庄,1,700.0
长春,太原,1,5.0
长春,呼和浩特,0,0.0
长春,沈阳,1,294.0
长春,长春,0,0.0
长春,哈尔滨,1,1046.0
长春,上海,1,250.0
长春,南京,1,414.0
长春,杭州,1,764.0
长春,合肥,1,147.0
长春,福州,1,4.0
长春,南昌,1,112.0
长春,济南,1,277.0
长春,郑州,1,272.0
长春,武汉,1,178.0
长春,长沙,1,170.0
长春,广州,1,1744.0
长春,南宁,1,33.0
长春,海口,1,4.0
长春,重庆,1,30.0
长春,成都,1,80.0
长春,贵阳,1,30.0
长春,昆明,1,40.0
长春,拉萨,0,0.0
长春,西安,1,288.0
长春,兰州,1,2.0
长春,西宁,1,1.0
长春,银川,0,0.0
长春,乌鲁木齐,1,4.0
哈尔滨,北京,1,446.0
哈尔滨,天津,1,85.0
哈尔滨,石家庄,1,188.0
哈尔滨,太原,0,0.0
哈尔滨,呼和浩特,0,0.0
哈尔滨,沈阳,1,383.0
哈尔滨,长春,1,219.0
哈尔滨,哈尔滨,0,0.0
哈尔滨,上海,1,93.0
哈尔滨,南京,1,89.0
哈尔滨,杭州,1,423.0
哈尔滨,合肥,1,53.0
哈尔滨,福州,0,0.0
哈尔滨,南昌,1,19.0
哈尔滨,济南,1,134.0
哈尔滨,郑州,1,106.0
哈尔滨,武汉,1,133.0
哈尔滨,长沙,1,1.0
哈尔滨,广州,1,502.0
哈尔滨,南宁,1,5.0
哈尔滨,海口,1,1.0
哈尔滨,重庆,1,3.0
哈尔滨,成都,1,96.0
哈尔滨,贵阳,1,2.0
哈尔滨,昆明,1,7.0
哈尔滨,拉萨,0,0.0
哈尔滨,西安,1,88.0
哈尔滨,兰州,1,1.0
哈尔滨,西宁,0,0.0
哈尔滨,银川,0,0.0
哈尔滨,乌鲁木齐,1,1.0
上海,北京,1,709.0
上海,天津,1,171.0
上海,石家庄,1,93.0
上海,太原,1,80.0
上海,呼和浩特,1,20.0
上海,沈阳,1,114.0
上海,长春,1,57.0
上海,哈尔滨,1,93.0
上海,上海,0,0.0
上海,南京,1,378.0
上海,杭州,1,760.0
上海,合肥,1,301.0
上海,福州,1,91.0
上海,南昌,1,155.0
上海,济南,1,148.0
上海,郑州,1,203.0
上海,武汉,1,324.0
上海,长沙,1,209.0
上海,广州,1,510.0
上海,南宁,1,99.0
上海,海口,1,15.0
上海,重庆,1,156.0
上海,成都,1,399.0
上海,贵阳,1,65.0
上海,昆明,1,124.0
上海,拉萨,0,0.0
上海,西安,1,187.0
上海,兰州,1,35.0
上海,西宁,1,1.0
上海,银川,1,2.0
上海,乌鲁木齐,1,12.0
南京,北京,1,107.0
南京,天津,1,46.0
南京,石家庄,1,88.0
南京,太原,1,232.0
南京,呼和浩特,0,0.0
南京,沈阳,1,41.0
南京,长春,1,134.0
南京,哈尔滨,1,161.0
南京,上海,1,199.0
南京,南京,0,0.0
南京,杭州,1,204.0
南京,合肥,1,136.0
南京,福州,1,201.0
南京,南昌,1,51.0
南京,济南,1,61.0
南京,郑州,1,101.0
南京,武汉,1,76.0
南京,长沙,1,268.0
南京,广州,1,320.0
南京,南宁,1,248.0
南京,海口,1,4.0
南京,重庆,1,213.0
南京,成都,1,244.0
南京,贵阳,1,157.0
南京,昆明,1,209.0
南京,拉萨,0,0.0
南京,西安,1,69.0
南京,兰州,0,0.0
南京,西宁,0,0.0
南京,银川,0,0.0
南京,乌鲁木齐,0,0.0
杭州,北京,1,304.0
杭州,天津,1,140.0
杭州,石家庄,1,173.0
杭州,太原,1,154.0
杭州,呼和浩特,1,2.0
杭州,沈阳,1,135.0
杭州,长春,1,121.0
杭州,哈尔滨,1,149.0
杭州,上海,1,365.0
杭州,南京,1,188.0
杭州,杭州,0,0.0
杭州,合肥,1,275.0
杭州,福州,1,88.0
杭州,南昌,1,329.0
杭州,济南,1,176.0
杭州,郑州,1,246.0
杭州,武汉,1,363.0
杭州,长沙,1,469.0
杭州,广州,1,237.0
杭州,南宁,1,270.0
杭州,海口,1,45.0
杭州,重庆,1,218.0
杭州,成都,1,281.0
杭州,贵阳,1,200.0
杭州,昆明,1,229.0
杭州,拉萨,1,10.0
杭州,西安,1,188.0
杭州,兰州,1,60.0
杭州,西宁,1,1.0
杭州,银川,1,3.0
杭州,乌鲁木齐,1,11.0
合肥,北京,1,37.0
合肥,天津,1,168.0
合肥,石家庄,1,38.0
合肥,太原,1,76.0
合肥,呼和浩特,0,0.0
合肥,沈阳,1,66.0
合肥,长春,1,2.0
合肥,哈尔滨,1,9.0
合肥,上海,1,62.0
合肥,南京,1,65.0
合肥,杭州,1,93.0
合肥,合肥,0,0.0
合肥,福州,1,59.0
合肥,南昌,1,211.0
合肥,济南,1,153.0
合肥,郑州,1,34.0
合肥,武汉,1,115.0
合肥,长沙,1,219.0
合肥,广州,1,115.0
合肥,南宁,1,88.0
合肥,海口,1,2.0
合肥,重庆,1,90.0
合肥,成都,1,59.0
合肥,贵阳,1,49.0
合肥,昆明,1,27.0
合肥,拉萨,0,0.0
合肥,西安,1,123.0
合肥,兰州,0,0.0
合肥,西宁,0,0.0
合肥,银川,0,0.0
合肥,乌鲁木齐,0,0.0
福州,北京,1,110.0
福州,天津,1,22.0
福州,石家庄,1,52.0
福州,太原,0,0.0
福州,呼和浩特,0,0.0
福州,沈阳,1,115.0
福州,长春,0,0.0
福州,哈尔滨,1,7.0
福州,上海,1,63.0
福州,南京,1,77.0
福州,杭州,1,75.0
福州,合肥,1,62.0
福州,福州,0,0.0
福州,南昌,1,70.0
福州,济南,1,63.0
福州,郑州,1,109.0
福州,武汉,1,80.0
福州,长沙,1,112.0
福州,广州,1,134.0
福州,南宁,1,2.0
福州,海口,0,0.0
福州,重庆,1,1.0
福州,成都,1,93.0
福州,贵阳,0,0.0
福州,昆明,0,0.0
福州,拉萨,0,0.0
福州,西安,0,0.0
福州,兰州,0,0.0
福州,西宁,1,1.0
福州,银川,0,0.0
福州,乌鲁木齐,0,0.0
南昌,北京,1,283.0
南昌,天津,1,68.0
南昌,石家庄,1,116.0
南昌,太原,1,26.0
南昌,呼和浩特,0,0.0
南昌,沈阳,1,51.0
南昌,长春,0,0.0
南昌,哈尔滨,0,0.0
南昌,上海,1,10.0
南昌,南京,1,5.0
南昌,杭州,1,10.0
南昌,合肥,1,119.0
南昌,福州,1,26.0
南昌,南昌,0,0.0
南昌,济南,1,196.0
南昌,郑州,1,120.0
南昌,武汉,1,213.0
南昌,长沙,1,146.0
南昌,广州,1,133.0
南昌,南宁,1,60.0
南昌,海口,1,5.0
南昌,重庆,1,62.0
南昌,成都,1,114.0
南昌,贵阳,1,64.0
南昌,昆明,1,30.0
南昌,拉萨,0,0.0
南昌,西安,1,125.0
南昌,兰州,0,0.0
南昌,西宁,0,0.0
南昌,银川,0,0.0
南昌,乌鲁木齐,1,2.0
济南,北京,1,639.0
济南,天津,1,197.0
济南,石家庄,1,236.0
济南,太原,1,301.0
济南,呼和浩特,0,0.0
济南,沈阳,1,174.0
济南,长春,1,224.0
济南,哈尔滨,1,227.0
济南,上海,1,261.0
济南,南京,1,146.0
济南,杭州,1,250.0
济南,合肥,1,301.0
济南,福州,1,108.0
济南,南昌,1,217.0
济南,济南,0,0.0
济南,郑州,1,385.0
济南,武汉,1,302.0
济南,长沙,1,312.0
济南,广州,1,567.0
济南,南宁,1,199.0
济南,海口,0,0.0
济南,重庆,1,322.0
济南,成都,1,383.0
济南,贵阳,1,269.0
济南,昆明,1,226.0
济南,拉萨,0,0.0
济南,西安,1,309.0
济南,兰州,1,1.0
济南,西宁,0,0.0
济南,银川,0,0.0
济南,乌鲁木齐,0,0.0
郑州,北京,1,401.0
郑州,天津,1,256.0
郑州,石家庄,1,230.0
郑州,太原,1,204.0
郑州,呼和浩特,1,145.0
郑州,沈阳,1,243.0
郑州,长春,1,207.0
郑州,哈尔滨,1,158.0
郑州,上海,1,494.0
郑州,南京,1,110.0
郑州,杭州,1,159.0
郑州,合肥,1,125.0
郑州,福州,1,216.0
郑州,南昌,1,382.0
郑州,济南,1,367.0
郑州,郑州,0,0.0
郑州,武汉,1,521.0
郑州,长沙,1,645.0
郑州,广州,1,498.0
郑州,南宁,1,352.0
郑州,海口,1,19.0
郑州,重庆,1,313.0
郑州,成都,1,796.0
郑州,贵阳,1,310.0
郑州,昆明,1,211.0
郑州,拉萨,1,3.0
郑州,西安,1,500.0
郑州,兰州,1,33.0
郑州,西宁,0,0.0
郑州,银川,1,1.0
郑州,乌鲁木齐,1,5.0
武汉,北京,1,797.0
武汉,天津,1,202.0
武汉,石家庄,1,369.0
武汉,太原,1,256.0
武汉,呼和浩特,1,34.0
武汉,沈阳,1,201.0
武汉,长春,1,217.0
武汉,哈尔滨,1,296.0
武汉,上海,1,466.0
武汉,南京,1,276.0
武汉,杭州,1,536.0
武汉,合肥,1,350.0
武汉,福州,1,189.0
武汉,南昌,1,436.0
