省会,经转量
北京,28
天津,16
石家庄,0
太原,0
呼和浩特,0
沈阳,33
长春,0
哈尔滨,0
上海,0
南京,1
杭州,2
合肥,0
福州,0
南昌,0
济南,0
郑州,0
武汉,2
长沙,1
广州,0
南宁,0
海口,0
重庆,56
成都,13
贵阳,2
昆明,1
拉萨,0
西安,8
兰州,2
西宁,0
银川,0
乌鲁木齐,0
